productId,name,volume,quantityInBox,percentage,price,category,description,inStock,inSale,isNew,quantity,imageFile
,Lavish Absinthe Fruit Punch,0.25,24,11,52.99,Lavish,,,,,,./images/Lavish Absinthe Fruit Punch 0.25-24-11.webp
,Lavish Absinthe Grape,0.25,24,11,52.99,Lavish,,,,,,./images/Lavish Absinthe Grape 0.25-24-11.webp
,Lavish Absinthe Green Apple,0.25,24,11,52.99,Lavish,,,,,,./images/Lavish Absinthe Green Apple 0.25-24-11.webp
,Lavish Absinthe Blue Raspberry,0.25,24,11,52.99,Lavish,,,,,,./images/Lavish Absinthe Blue Raspberry 0.25-24-11.webp
,Lavish Classic,0.25,24,10,52.99,Lavish,,,,,,./images/Lavish Classic 0.25-24-10.webp
,Lavish Mangotini,0.25,24,12.5,58.99,Lavish,,,,,,./images/Lavish Mangotini 0.25-24-12.5.webp
,Lavish Cosmopolitan,0.25,24,12.5,58.99,Lavish,,,,,,./images/Lavish Cosmopolitan 0.25-24-12.5.webp
,Lavish Raspberry Guava,0.25,24,12.5,58.99,Lavish,,,,,,./images/Lavish Raspberry Guava 0.25-24-12.5.webp
,Lavish Purple Grape,0.25,24,12.5,58.99,Lavish,,,,,,./images/Lavish Purple Grape 0.25-24-12.5.webp
,Lavish Pineapple Colada,0.25,24,12.5,58.99,Lavish,,,,,,./images/Lavish Pineapple Colada 0.25-24-12.5.webp
,Lavish Whiskey-Cola,0.25,24,12.5,58.99,Lavish,,,,,,./images/Lavish Whiskey-Cola 0.25-24-12.5.webp
,Lavish Gin Fizz,0.25,24,12.5,58.99,Lavish,,,,,,./images/Lavish Gin Fizz 0.25-24-12.5.webp
,Lavish Rum-Cola,0.25,24,12.5,58.99,Lavish,,,,,,./images/Lavish Rum-Cola 0.25-24-12.5.webp
,Lavish Ultra Strong,0.25,24,17,66.99,Lavish,,,,,,./images/Lavish Ultra Strong 0.25-24-17.webp
,Lavish Extreme,0.25,24,21,79.99,Lavish,,,,,,./images/Lavish Extreme 0.25-24-21.webp
,Lavish Hemp Vodka,0.7,1,40,21.45,Lavish,,,,,,./images/Lavish Hemp Vodka 0.7-1-40.webp
,Lavish Bubblegum Kush,0.7,1,40,21.45,Lavish,,,,,,./images/Lavish Bubblegum Kush 0.7-1-40.webp
,Lavish Vodka,0.7,1,40,21.45,Lavish,,,,,,./images/Lavish Vodka 0.7-1-40.webp
,Johnnie Walker Red Label,0.2,1,40,4.85,Whisky,,,,,,./images/Johnnie Walker Red Label 0.20-1-40.webp
,Johnnie Walker Red Label,0.35,1,40,7.40,Whisky,,,,,,./images/Johnnie Walker Red Label 0.35-1-40.webp
,Johnnie Walker Red Label,0.7,1,40,11.25,Whisky,,,,,,./images/Johnnie Walker Red Label 0.7-1-40.webp
,Johnnie Walker Red Label,1,1,40,15.85,Whisky,,,,,,./images/Johnnie Walker Red Label 1-1-40.webp
,Johnnie Walker Black Label,0.2,1,40,10.65,Whisky,,,,,,./images/Johnnie Walker Black label 0.20-1-40.webp
,Johnnie Walker Black Label,0.35,1,40,13.15,Whisky,,,,,,./images/Johnnie Walker Black label 0.35-1-40.webp
,Johnnie Walker Black Label,0.7,1,40,18.75,Whisky,,,,,,./images/Johnnie Walker Black label 0.7-1-40.webp
,Johnnie Walker Black Label,1,1,40,24.95,Whisky,,,,,,./images/Johnnie Walker Black label 1-1-40.webp
,Jack Daniels,0.2,1,40,7.55,Whisky,,,,,,./images/Jack Daniels 0.20-1-40.webp
,Jack Daniels,0.35,1,40,11.20,Whisky,,,,,,./images/Jack Daniels 0.35-1-40.webp
,Jack Daniels,0.5,1,40,14.30,Whisky,,,,,,./images/Jack Daniels 0.5-1-40.webp
,Jack Daniels,0.7,1,40,16.50,Whisky,,,,,,./images/Jack Daniel's Straight Rye 0.7-1-45.webp
,Jack Daniels,1,1,40,21.95,Whisky,,,,,,./images/Jack Daniels 1-1-40.webp
,Jack Daniels Honey,0.7,1,35,17.10,Whisky,,,,,,./images/Jack Daniels Honey 0.7-1-35.webp
,Jack Daniels Honey,1,1,35,22.50,Whisky,,,,,,./images/Jack Daniels Honey 1-1-35.webp
,Ballantines Finest,0.2,1,40,5.70,Whisky,,,,,,./images/Ballantines Finest 0.2-1-40.webp
,Ballantines Finest,0.35,1,40,9.85,Whisky,,,,,,./images/Ballantines Finest 0.35-1-40.webp
,Ballantines Finest,0.7,1,40,13.45,Whisky,,,,,,./images/Ballantines Finest 0.7-1-40.webp
,Ballantines Finest,1,1,40,17.05,Whisky,,,,,,./images/Ballantines Finest 1-1-40.webp
,Johnnie Walker Double Black,0.7,1,40,24.60,Whisky,,,,,,./images/Johnnie Walker Double Black 0.7-1-40.webp
,Johnnie Walker Double Black,1,1,40,32.80,Whisky,,,,,,./images/Johnnie Walker Double Black 1-1-40.webp
,Grants,0.2,1,40,3.95,Whisky,,,,,,./images/Grants 0.2-1-40.webp
,Grants,0.35,1,40,6.65,Whisky,,,,,,./images/Grants 0.35-1-40.webp
,Grants,0.7,1,40,10.50,Whisky,,,,,,./images/Grants 0.7-1-40.webp
,Grants,1,1,40,13.95,Whisky,,,,,,./images/Grants 1-1-40.webp
,Chivas Regal 12 yrs,0.35,1,40,13.25,Whisky,,,,,,./images/Chivas Regal 12 yrs 0.35-1-40.webp
,Chivas Regal 12 yrs,0.7,1,40,20.90,Whisky,,,,,,./images/Chivas Regal 12 yrs 0.7-1-40.webp
,Chivas Regal 12 yrs,1,1,40,26.00,Whisky,,,,,,./images/Chivas Regal 12 yrs 1-1-40.webp
,Glen Talloch,0.2,1,40,4.00,Whisky,,,,,,./images/Glen Talloch 0.2-1-40.webp
,Glen Talloch,0.35,1,40,5.70,Whisky,,,,,,./images/Glen Talloch 0.35-1-40.webp
,Glen Talloch,0.7,1,40,10.10,Whisky,,,,,,./images/Glen Talloch 0.7-1-40.webp
,Glen Talloch,1,1,40,13.85,Whisky,,,,,,./images/Glen Talloch 1-1-40.webp
,Glen Scanlan,0.2,1,40,3.55,Whisky,,,,,,./images/Glen Scanlan 0.2-1-40.webp
,Glen Scanlan,0.35,1,40,5.65,Whisky,,,,,,./images/Glen Scanlan 0.35-1-40.webp
,Glen Scanlan,0.7,1,40,9.40,Whisky,,,,,,./images/Glen Scanlan 0.7-1-40.webp
,Glen Scanlan,1,1,40,12.35,Whisky,,,,,,./images/Glen Scanlan 1-1-40.webp
,Justerini & Brooks,0.2,1,40,4.55,Whisky,,,,,,./images/Justerini & Brooks 0.2-1-40.webp
,Justerini & Brooks,0.35,1,40,8.30,Whisky,,,,,,./images/Justerini & Brooks 0.35-1-40.webp
,Justerini & Brooks,0.7,1,40,11.60,Whisky,,,,,,./images/Justerini & Brooks 0.7-1-40.webp
,Justerini & Brooks,1,1,40,15.50,Whisky,,,,,,./images/Justerini & Brooks 1-1-40.webp
,William Lawsons,0.7,1,40,10.40,Whisky,,,,,,./images/William Lawsons 0.7-1-40.webp
,William Lawsons,1,1,40,13.80,Whisky,,,,,,./images/William Lawsons 1-1-40.webp
,Jameson,0.35,1,40,10.80,Whisky,,,,,,./images/Jameson 0.35-1-40.webp
,Jameson,0.7,1,40,16.00,Whisky,,,,,,./images/Jameson 0.7-1-40.webp
,Jameson,1,1,40,20.35,Whisky,,,,,,./images/Jameson 1-1-40.webp
,Famous Grouse,0.2,1,40,5.85,Whisky,,,,,,./images/Famous Grouse 0.2-1-40.webp
,Famous Grouse,0.35,1,40,9.80,Whisky,,,,,,./images/Famous Grouse 0.35-1-40.webp
,Famous Grouse,0.7,1,40,11.25,Whisky,,,,,,./images/Famous Grouse 0.7-1-40.webp
,Famous Grouse,1,1,40,14.45,Whisky,,,,,,./images/Famous Grouse 1-1-40.webp
,Famous Grouse Sherry Cask,0.7,1,40,15.60,Whisky,,,,,,./images/Famous Grouse Sherry Cask 0.7-1-40.webp
,Famous Grouse Sherry Cask,1,1,40,20.45,Whisky,,,,,,./images/Famous Grouse Sherry Cask 1-1-40.webp
,Glen Mansion,0.2,1,40,4.65,Whisky,,,,,,./images/Glen Mansion 0.2-1-40.webp
,Glen Mansion,0.7,1,40,10.45,Whisky,,,,,,./images/Glen Mansion 0.7-1-40.webp
,Glen Mansion,1,1,40,14.10,Whisky,,,,,,./images/Glen Mansion 1-1-40.webp
,Teachers,0.7,1,40,10.40,Whisky,,,,,,./images/Teacher's 0.7-1-40.webp
,Teachers,1,1,40,14.85,Whisky,,,,,,./images/Teacher's 1-1-40.webp
,Jim Beam,0.2,1,40,5.99,Whisky,,,,,,./images/Jim Beam 0.20-1-40.webp
,Jim Beam,0.7,1,40,12.40,Whisky,,,,,,./images/Jim Beam 0.7-1-40.webp
,Jim Beam,1,1,40,16.00,Whisky,,,,,,./images/Jim Beam 1-1-40.webp
,Jim Beam Honey,0.7,1,32.5,12.45,Whisky,,,,,,./images/Jim Beam Honey 0.7-1-32.5.webp
,Jim Beam Honey,1,1,32.5,16.00,Whisky,,,,,,./images/Jim Beam Honey 1-1-32.5.webp
,Jim Beam Apple,0.7,1,32.5,12.45,Whisky,,,,,,./images/Jim Beam Apple 0.7-1-32.5.webp
,Jim Beam Apple,1,1,32.5,16.00,Whisky,,,,,,./images/Jim Beam Apple 1-1-32.5.webp
,Jim Beam Peach,0.7,1,32.5,12.45,Whisky,,,,,,./images/Jim Beam Peach 0.7-1-32.5.webp
,Jim Beam Double OAK,0.7,1,43,19.90,Whisky,,,,,,./images/Jim Beam Double Oak 0.7-1-43.webp
,Jim Beam Devils Cut,0.7,1,45,17.45,Whisky,,,,,,./images/Jim Beam Devil's Cut 0.7-1-45.webp
,Jim Beam Black Cherry,0.7,1,32.5,12.95,Whisky,,,,,,./images/Jim Beam Black Cherry 0.7-1-32.5.webp
,Johnnie Walker Gold Label Reserve,0.7,1,40,33.30,Whisky,,,,,,./images/Johnnie Walker Gold Label Reserve 0.7-1-40.png
,Johnnie Walker Gold Label Reserve,1,1,40,41.95,Whisky,,,,,,./images/Johnnie Walker Gold Label Reserve 1-1-40.webp
